Date.Collected,Date.Census,Date.Frozen,Date.Year.Collected,Colony,Location.Collected,Adult.Count,Queen.Count,Larvae.Count,Pupae.Count,Males.Count,Winged.Queen.Count,Egg.Count
3-May,4-May,7-May,2021,1,"Durland Nature Preserve, Ellis Hollow Creek Rd.",67,1,62,0,0,0,0
4-May,4-May,7-May,2021,2,"Beebee lake, Cornell Campus",43,0,32,0,0,0,0
4-May,4-May,7-May,2021,3,"Beebee lake, Cornell Campus",25,0,6,0,0,0,0
4-May,4-May,7-May,2021,4,"Beebee lake, Cornell Campus",29,0,29,0,0,0,0
4-May,4-May,7-May,2021,5,"Beebee lake, Cornell Campus",31,1,34,0,0,0,0
4-May,4-May,7-May,2021,6,"Beebee lake, Cornell Campus",11,0,6,0,0,0,0
4-May,7-May,10-May,2021,7,"Beebee lake, Cornell Campus",15,0,5,0,0,0,0
4-May,7-May,10-May,2021,8,"Beebee lake, Cornell Campus",34,0,8,0,0,0,0
4-May,7-May,10-May,2021,9,"Beebee lake, Cornell Campus",46,1,38,0,0,0,0
4-May,7-May,10-May,2021,10,"Beebee lake, Cornell Campus",29,1,84,0,0,0,0
4-May,7-May,10-May,2021,11,"Beebee lake, Cornell Campus",1,1,0,0,0,0,0
9-May,10-May,18-May,2021,13,"Beebee lake, Cornell Campus",65,0,37,0,0,0,0
9-May,10-May,18-May,2021,14,"Beebee lake, Cornell Campus",48,1,29,0,0,0,0
11-May,13-May,18-May,2021,15,"Botanic Gardens, Cornell",13,0,17,0,0,0,0
11-May,13-May,18-May,2021,16,"Botanic Gardens, Cornell",21,2,6,0,0,0,0
11-May,13-May,18-May,2021,17,"Botanic Gardens, Cornell",84,1,102,0,0,0,0
11-May,13-May,18-May,2021,18,"Botanic Gardens, Cornell",17,1,67,0,0,0,0
11-May,13-May,18-May,2021,19,"Botanic Gardens, Cornell",22,1,20,0,0,0,0
11-May,13-May,18-May,2021,20,"Botanic Gardens, Cornell",31,1,12,0,0,0,0
11-May,13-May,18-May,2021,21,"Botanic Gardens, Cornell",26,1,17,0,0,0,1
11-May,13-May,18-May,2021,22,"Botanic Gardens, Cornell",14,2,14,0,0,0,0
13-May,13-May,18-May,2021,23,"Botanic Gardens, Cornell",17,0,47,0,0,0,0
13-May,13-May,18-May,2021,24,"Botanic Gardens, Cornell",14,1,25,0,0,0,0
17-May,18-May,21-May,2021,25,"Beebee lake, Cornell Campus",9,0,30,0,0,0,0
17-May,18-May,21-May,2021,26,"Beebee lake, Cornell Campus",9,1,43,0,0,0,0
17-May,18-May,21-May,2021,27,"Beebee lake, Cornell Campus",12,1,89,0,0,0,1
19-May,19-May,24-May,2021,28,Monkey run,5,0,6,0,0,0,0
19-May,19-May,24-May,2021,29,Monkey run,12,1,35,0,0,0,0
19-May,20-May,24-May,2021,30,Monkey run,18,0,24,0,0,0,0
19-May,20-May,24-May,2021,31,Monkey run,17,1,95,0,0,0,3
19-May,20-May,24-May,2021,32,Monkey run,24,1,155,0,0,0,6
19-May,20-May,24-May,2021,33,Monkey run,35,1,106,0,0,0,0
19-May,21-May,24-May,2021,34,Monkey run,11,1,46,0,0,0,2
20-May,21-May,24-May,2021,35,Flat Rock,9,1,45,0,0,0,0
20-May,21-May,24-May,2021,36,Flat Rock,17,0,15,0,0,0,0
20-May,21-May,24-May,2021,37,Flat Rock,2,1,13,0,0,0,0
21-May,21-May,24-May,2021,38,Indian Creek,4,0,37,0,0,0,1
19-May,19-May,24-May,2021,39,Monkey run,9,0,28,0,0,0,0
24-May,27-May,1-Jun,2021,40,"Botanic Gardens, Cornell",27,1,36,0,0,0,0
25-May,27-May,1-Jun,2021,41,"Botanic Gardens, Cornell",4,0,7,0,0,0,0
25-May,27-May,7-Jun,2021,42,Lickbrook ,8,1,19,0,0,0,1
25-May,27-May,1-Jun,2021,43,Varna Cliffs (Dyce),2,1,6,0,0,0,0
25-May,27-May,1-Jun,2021,44,Varna Cliffs (Dyce),17,1,54,0,0,0,7
25-May,27-May,1-Jun,2021,45,Varna Cliffs (Dyce),8,1,35,0,0,0,2
25-May,27-May,1-Jun,2021,46,Varna Cliffs (Dyce),6,0,16,0,0,0,0
7-Jun,7-Jun,11-Jun,2021,47,Monkey run,2,1,8,0,0,0,0
7-Jun,7-Jun,11-Jun,2021,48,Monkey run,2,0,13,0,0,0,2
7-Jun,7-Jun,11-Jun,2021,49,Monkey run,7,0,25,0,0,0,1
7-Jun,7-Jun,14-Jun,2021,50,Monkey run,17,1,48,0,0,0,4
7-Jun,7-Jun,11-Jun,2021,51,Monkey run,14,1,79,0,0,0,6
7-Jun,7-Jun,NA,2021,52,Monkey run,9,0,68,0,0,0,2
14-Jun,14-Jun,17-Jun,2021,53,"Botanic Gardens, Cornell",9,0,21,5,0,0,0
14-Jun,14-Jun,NA,2021,54,"Botanic Gardens, Cornell",21,0,26,5,0,0,1
14-Jun,14-Jun,17-Jun,2021,55,"Botanic Gardens, Cornell",7,0,22,2,0,0,0
14-Jun,14-Jun,17-Jun,2021,56,"Botanic Gardens, Cornell",4,0,8,0,0,0,0
14-Jun,14-Jun,18-Jun,2021,57,"Botanic Gardens, Cornell",16,1,8,12,0,0,7
14-Jun,14-Jun,18-Jun,2021,58,"Botanic Gardens, Cornell",17,1,45,1,0,0,2
14-Jun,14-Jun,17-Jun,2021,59,"Botanic Gardens, Cornell",26,0,40,20,0,0,1
14-Jun,14-Jun,21-Jun,2021,60,"Botanic Gardens, Cornell",9,1,34,10,0,0,26
14-Jun,14-Jun,17-Jun,2021,61,"Botanic Gardens, Cornell",8,1,3,0,0,0,9
15-Jun,16-Jun,NA,2021,62,Lickbrook ,36,0,67,23,0,0,0
15-Jun,16-Jun,NA,2021,63,"Cornell campus (fall creek gorge trail S side, west of suspension brige, east of stewart)",23,0,0,17,0,0,10
16-Jun,16-Jun,NA,2021,64,"Cornell campus (fall creek gorge trail S side, west of suspension brige, east of stewart)",13,0,4,34,0,0,0
16-Jun,16-Jun,21-Jun,2021,65,"Cornell campus (fall creek gorge trail S side, west of suspension brige, east of stewart)",17,0,34,16,0,0,0
16-Jun,17-Jun,21-Jun,2021,66,"Botanic Gardens, Cornell",4,1,10,1,0,0,0
17-Jun,17-Jun,21-Jun,2021,67,Lickbrook ,49,1,110,1,0,0,3
